Atraid 0610007C21Rik
Zfp607b C030039L03Rik
Ric1 C030046E11Rik
Nrcam C130076O07Rik
Cwh43 C130090K23Rik
Caprin2 C1qdc1
C1qtnf12 C1qdc2
C1s1 C1s
Psma1 C2
Kcnc1 C230009H10Rik
Ido2 C230043N17Rik
Faap24 C230052I12Rik
Peak1 C230081A13Rik
Fam102a C230093N12Rik
Eml6 C230094A16Rik
Ciita C2ta
Kidins220 C330002I19Rik
Tmem250-ps C330006A16Rik
Slc4a5 C330016K18Rik
N4bp3 C330016O10Rik
Prr14l C330019G07Rik
Dnajc27 C330021A05Rik
Dock6 C330023D02Rik
Larp7 C330027G06Rik
Tprn C430004E15Rik
Fkbp15 C430014M02Rik
Fam20b C530043G21Rik
Spink8 C630041L24Rik
Nexmif C77370
Fam8a1 C78339
Efr3a C920006C10Rik
Nod1 Card4
Kyat1 Ccbl1
Kyat3 Ccbl2
Ackr2 Ccbp2
Sgf29 Ccdc101
Cfap36 Ccdc104
Cfap65 Ccdc108
Mcub Ccdc109b
Cfap53 Ccdc11
Primpol Ccdc111
Vps50 Ccdc132
Cfap58 Ccdc147
Zfp830 Ccdc16
Cfap45 Ccdc19
Svbp Ccdc23
Cep83 Ccdc41
Cep95 Ccdc45
Cep112 Ccdc46
Haus1 Ccdc5
Spice1 Ccdc52
Washc3 Ccdc53
Nsrp1 Ccdc55
Coa3 Ccdc56
Ccdc7a Ccdc7
Tma7 Ccdc72
Terb1 Ccdc79
Ripk2 Cck
Cdk20 Ccrk
Ackr4 Ccrl1
Noct Ccrn4l
Adgre5 Cd97
Cdk1 Cdc2a
Cdk19 Cdc2l6
Nuf2 Cdca1
Hdhd5 Cecr5
Tmem121b Cecr6
Cercam Ceecam1
Acap2 Centb2
Arap2 Centd1
Arap3 Centd3
Cntrl Cep110
Coa4 Chchd8
Foxn3 Ches1
Chil1 Chi3l1
Chia1 Chia
Nlrp3 Cias1
Utp4 Cirh1a
Tbcb Ckap1
Clca2 Clca5
Cldnd1 Cldn25
Nat8f1 Cml1
Nat8f2 Cml2
Nat8f3 Cml3
Nat8 Cml4
Cmpk1 Cmpk
Xirp1 Cmya1
Cngb1 Cngb1b
Cnih1 Cnih
Bloc1s4 Cno
Copg1 Copg
Enox2 Cova1
Emc8 Cox4nb
Ints11 Cpsf3l
Atf6b Crebl1
Eid1 Cri1
Eid2 Cri2
Cdk12 Crkrs
Utp3 Crlz1
Cr1l Crry
Med14 Crsp2
Med23 Crsp3
Med17 Crsp6
Med26 Crsp7
Med27 Crsp8
Med7 Crsp9
Ybx3 Csda
Prl3b1 Csh2
Smpx Csl
Ncan Cspg3
Kat14 Csrp2bp
Mia2 Ctage5
Celf1 Cugbp1
Celf2 Cugbp2
Cux1 Cutl1
Cux2 Cutl2
Ppbp Cxcl7
Rtl8a Cxx1a
Rtl8c Cxx1c
Tet1 Cxxc6
Clip2 Cyln2
Cyp2c23 Cyp2c44
Cyp4a12a Cyp4a12
Cypt1 Cypt5
Cdcp2 D030010E02Rik
Srcap D030022P06Rik
Ambra1 D030051N19Rik
Ino80c D030070L09Rik
Hdac9 D030072B18Rik
Nrep D0H4S114
Fam50a D0HXS9928E
A230006K03Rik D0Kist2
Zfp930 D10627
Arfgef3 D10Bwg1379e
Mrpl42 D10Ertd322e
Nus1 D10Ertd438e
Arhgef25 D10Ertd610e
Anapc16 D10Ertd641e
Rtcb D10Wsu52e
Rnasek D11Bwg0434e
Slc46a1 D11Ertd18e
Slc25a39 D11Ertd333e
Cdkn2aipnl D11Ertd497e
Cpsf4l D11Ertd636e
Slu7 D11Ertd730e
Dhx58 D11Lgp2e
Fam104a D11Wsu99e
Rnf214 D130054N24Rik
Nop16 D13Wsu177e
Med10 D13Wsu50e
Erc2 D14Ertd171e
Ints9 D14Ertd231e
Atg14 D14Ertd436e
Haus4 D14Ertd500e
Pibf1 D14Ertd581e
Fam91a1 D15Ertd621e
Rpap3 D15Ertd682e
Ncaph2 D15Ertd785e
Arhgap39 D15Wsu169e
Desi1 D15Wsu75e
